"","id","Phase","Predictability","TimeBin","SamplesInAOI","SamplesTotal","AOI","Elog","Weights","Prop","LogitAdjusted","ArcSin","Time","ot1","ot2","ot3","ot4","ot5","ot6","ot7"
"5895","SE76","Train","Pred",0,23,31,"RecipientAOI",1.01693425765384,6.2421875,0.741935483870968,1.05605267424931,1.03793445827038,0,-0.430945803685667,0.481812055829716,-0.458578365873336,0.3875694570443,-0.29489613910929,0.202756327304059,-0.125744136217209
"5896","SE76","Train","Pred",1,28,45,"RecipientAOI",0.487703206345136,10.8423913043478,0.622222222222222,0.498991166118988,0.908871520677665,0.1,-0.364646449272488,0.259437260831386,-0.0352752589133336,-0.208691246100777,0.385633412681379,-0.45230257629367,0.415922912103075
"5897","SE76","Train","Pred",2,21,45,"RecipientAOI",-0.130620182417064,11.4510869565217,0.466666666666667,-0.133531392624523,0.752040089192336,0.2,-0.298347094859308,0.0741249316661101,0.211651553480001,-0.357756421887045,0.272211820716268,-0.0155966405618529,-0.261160898297281
"5898","SE76","Train","Pred",3,24,45,"RecipientAOI",0.130620182417064,11.4510869565217,0.533333333333333,0.133531392624523,0.818756237602561,0.3,-0.232047740446129,-0.0741249316661101,0.314270488500608,-0.249345384951578,-0.0577419013640573,0.321857946140012,-0.310403357235485
"5899","SE76","Train","Pred",4,30,42,"RecipientAOI",0.89199803930511,8.86627906976744,0.714285714285714,0.916290731874155,1.00685368543427,0.4,-0.165748386032949,-0.185312329165275,0.304649963342426,-0.0352335870040276,-0.286647296057282,0.262307136722036,0.0835363142701706
"5900","SE76","Train","Pred",5,30,42,"RecipientAOI",0.89199803930511,8.86627906976744,0.714285714285714,0.916290731874155,1.00685368543427,0.5,-0.0994490316197694,-0.259437260831385,0.214858395199395,0.170747383173363,-0.299020560635294,-0.0354469103678429,0.329748608961211
"5901","SE76","Train","Pred",6,24,47,"RecipientAOI",0.0416726964005681,11.9947916666667,0.51063829787234,0.0425596144187957,0.796037264081438,0.6,-0.0331496772065898,-0.29649972666444,0.0769642012654549,0.292709799725765,-0.123732645780122,-0.283575282942741,0.175865924779315
"5902","SE76","Train","Pred",7,21,40,"RecipientAOI",0.0976384695639161,10.2256097560976,0.525,0.100083458556983,0.810408591800333,0.7,0.0331496772065898,-0.29649972666444,-0.0769642012654549,0.292709799725765,0.123732645780122,-0.283575282942741,-0.175865924779311
"5903","SE76","Train","Pred",8,23,41,"RecipientAOI",0.239229689065834,10.3511904761905,0.560975609756098,0.245122458032985,0.846525932917339,0.8,0.0994490316197694,-0.259437260831385,-0.214858395199395,0.170747383173363,0.299020560635294,-0.0354469103678425,-0.329748608961212
"5904","SE76","Train","Pred",9,13,31,"RecipientAOI",-0.315081046639895,7.8046875,0.419354838709677,-0.325422400434628,0.704399186111886,0.9,0.165748386032949,-0.185312329165275,-0.304649963342426,-0.0352335870040272,0.286647296057282,0.262307136722035,-0.0835363142701757
